username,articleTitle,likeStatus,skipStatus
thh,Google’s Gemini AI now has its own iPhone app - The Verge,didn't like,didn't skip
thh,Anthony Davis reached a milestone in his career,didn't like,didn't skip
thh,thehara,didn't like,didn't skip
thh,Anthony Davis reached a milestone in his career,didn't like,didn't skip
thh,gum,didn't like,didn't skip
thh,thehara,didn't like,didn't skip
thh,hello,didn't like,didn't skip
thh,Eagles vs. Commanders odds,didn't like,didn't skip
thh,Eagles vs. Commanders odds, prediction, spread
thh,girlll,like,
gig,Eagles vs. Commanders odds, prediction, spread
gig,Eagles vs. Commanders odds, prediction, spread
gig,The Onion buys Alex Jones's Infowars at auction - BBC.com,like,
gig,Canadian teenager in critical condition with presumptive bird flu as U.S. official warns the virus 'seems to be gearing up for wider impact' - Fortune,didn't like,skip
thh,Eagles vs. Commanders odds,didn't like,didn't skip
thh,Polymarket founder awakes to find Feds raiding his New York home - Fortune,didn't like,didn't skip
thh,The Onion buys Alex Jones's Infowars at auction - BBC.com,didn't like,didn't skip
thh,girlll,didn't like,didn't skip
thh,Trump to select Robert F. Kennedy Jr. to lead HHS - POLITICO,didn't like,didn't skip
thh,That was a signature win right there. That was a big,didn't like,didn't skip
thh,yh jg ker,didn't like,didn't skip
thh,girlll,didn't like,didn't skip
thh,Polymarket founder awakes to find Feds raiding his New York home - Fortune,didn't like,didn't skip
thh,Eagles vs. Commanders odds,didn't like,didn't skip
thh,Disney shares rally on ‘Deadpool’-driven earnings boost - Financial Times,like
thh,Polymarket founder awakes to find Feds raiding his New York home - Fortune,didn't like,didn't skip
thh,Polymarket founder awakes to find Feds raiding his New York home - Fortune,didn't like,didn't skip
thh,James Webb Spots Massive ‘Red Monsters’—A Discovery That’s Shaking Astronomy to Its Core - The Daily Galaxy --Great Discoveries Channel,didn't like,didn't skip
thh,yh jg ker,didn't like,didn't skip
thh,Hollywood stars gather for honorary Oscars event celebrating Quincy Jones,didn't like,didn't skip
thh,Team-GPT raises$4.5M to offer suite of AI tools to companies - TechCrunch,didn't like,didn't skip
thh,Canadian teenager in critical condition with presumptive bird flu as U.S. official warns the virus 'seems to be gearing up for wider impact' - Fortune,didn't like,didn't skip
thh,yh jg ker,didn't like,didn't skip
helloo,More than 40,000 protest New Zealand Maori rights bill - Al Jazeera English,didn't like
helloo,Team-GPT raises$4.5M to offer suite of AI tools to companies - TechCrunch,like,
thh,yh jg ker,didn't like,didn't skip
thh,health is important,like
thh,Chiefs K Harrison Butker reportedly needs knee surgery,didn't like,didn't skip
hansaja,health is important,didn't like,didn't skip
thh,health is important,like
hansaja,health is important,didn't like,didn't skip
hansaja,Team-GPT raises$4.5M to offer suite of AI tools to companies - TechCrunch,didn't like,didn't skip
hansaja,health is important,didn't like,didn't skip
hansaja,Team-GPT raises$4.5M to offer suite of AI tools to companies - TechCrunch,didn't like,didn't skip
hansaja,health is important,didn't like,didn't skip
hansaja,Disney shares rally on ‘Deadpool’-driven earnings boost - Financial Times,didn't like,didn't skip
hansaja,Sonny Bono thought about ‘seriously’ killing Cher, she claims in memoir - Page Six,didn't like
hansaja,Canadian teenager in critical condition with presumptive bird flu as U.S. official warns the virus 'seems to be gearing up for wider impact' - Fortune,didn't like,didn't skip
thh,girlll,didn't like,didn't skip
thh,The Onion buys Alex Jones's Infowars at auction - BBC.com,didn't like,didn't skip
thh,Lowe’s Stock Falls After Earnings. It's 'Too Early to Call an Inflection Point.' - Barron's,like,
thh,health is important,like
thh,Complete digital access to quality FT journalism on any device.,didn't like,didn't skip
thh,"Education is life",like
thh,Northwest U.S. sees ‘Bomb cyclone’ kill 1 and knock out power to half a million homes - PBS NewsHour,like
thh,Northwest U.S. sees ‘Bomb cyclone’ kill 1 and knock out power to half a million homes - PBS NewsHour,like
thh,Northwest U.S. sees ‘Bomb cyclone’ kill 1 and knock out power to half a million homes - PBS NewsHour,like
thh,Northwest U.S. sees ‘Bomb cyclone’ kill 1 and knock out power to half a million homes - PBS NewsHour,like
thh,Northwest U.S. sees ‘Bomb cyclone’ kill 1 and knock out power to half a million homes - PBS NewsHour,like
thh,Samsung Galaxy S25 Ultra leaked dummy units reveal rounded corners and new design details - PhoneArena,like
thh,Samsung Galaxy S25 Ultra leaked dummy units reveal rounded corners and new design details - PhoneArena,like
thh,Northwest U.S. sees ‘Bomb cyclone’ kill 1 and knock out power to half a million homes - PBS NewsHour,like
thh,Northwest U.S. sees ‘Bomb cyclone’ kill 1 and knock out power to half a million homes - PBS NewsHour,like
